ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
STRG.124.1_ORF_5	2629	+	1	1912	2124	213	1.3251	-0.0827345297949096	2.22044604925031e-16
STRG.124.3_ORF_1	2735	+	1	142	2301	2160	1.1352	0.407231888601355	2.22044604925031e-16
STRG.124.3_ORF_2	2735	-	3	2322	1981	342	1.0756	0.123171740266735	2.22044604925031e-16
STRG.124.3_ORF_3	2735	-	1	1028	783	246	0.9273	0.0793010306466903	2.22044604925031e-16
STRG.124.3_ORF_4	2735	+	3	1029	1244	216	1.0971	-0.0609451712204431	2.22044604925031e-16
STRG.124.3_ORF_5	2735	+	2	2018	2230	213	1.3251	-0.0827345297949096	2.22044604925031e-16
STRG.137.2_ORF_1	699	+	1	400	627	228	1.0659	0.495118115900517	2.22044604925031e-16
STRG.137.2_ORF_2	699	+	3	240	464	225	0.5002	0.0255440910708902	2.22044604925031e-16
STRG.137.2_ORF_3	699	-	1	576	454	123	0.9026	-0.181417500699013	2.22044604925031e-16
STRG.137.2_ORF_4	699	+	2	140	253	114	0.7311	-0.130987630740985	2.22044604925031e-16
STRG.80.2_ORF_1	1707	+	2	383	1567	1185	0.9672	0.211282900564894	2.22044604925031e-16
STRG.80.2_ORF_2	1707	+	3	1383	1580	198	0.823	-0.28637231922458	2.22044604925031e-16
STRG.80.2_ORF_3	1707	+	1	1498	1680	183	0.5841	-0.316834328407147	2.22044604925031e-16
STRG.80.2_ORF_4	1707	+	3	618	779	162	0.8929	-0.15023083813739	2.22044604925031e-16
STRG.80.2_ORF_5	1707	-	1	1242	1081	162	1.0505	0.108322583577951	2.22044604925031e-16
STRG.94.1_ORF_1	390	+	3	78	185	108	0.8941	0.034186240355342	2.22044604925031e-16
STRG.94.1_ORF_2	390	+	2	182	262	81	1.0067	0.12079571445221	2.22044604925031e-16
STRG.643.1_ORF_1	425	+	3	102	254	153	0.4111	-0.310384147012694	2.22044604925031e-16
STRG.643.1_ORF_2	425	+	1	232	366	135	0.8258	-0.0630881834851892	2.22044604925031e-16
STRG.643.1_ORF_3	425	+	2	86	217	132	0.5061	-0.384482581274191	2.22044604925031e-16
STRG.643.1_ORF_4	425	-	3	390	259	132	1.0795	-0.32439566420075	2.22044604925031e-16
STRG.683.1_ORF_1	2633	+	2	104	1705	1602	0.8694	0.319238051655096	2.22044604925031e-16
STRG.683.1_ORF_2	2633	+	3	282	593	312	1.2542	0.0206996501672869	2.22044604925031e-16
STRG.683.1_ORF_3	2633	-	1	347	57	291	0.6054	-0.103405935649306	2.22044604925031e-16
STRG.683.1_ORF_4	2633	-	3	243	1	243	0.5781	-0.101245532396056	2.22044604925031e-16
STRG.683.1_ORF_5	2633	-	1	2018	1809	210	0.7131	-0.231905748734424	2.22044604925031e-16
STRG.683.2_ORF_1	2645	+	2	104	1717	1614	0.8694	0.316661764842554	2.22044604925031e-16
STRG.683.2_ORF_2	2645	+	3	294	605	312	1.2542	0.0206996501672869	2.22044604925031e-16
STRG.683.2_ORF_3	2645	-	1	359	57	303	0.6252	-0.087730871089898	2.22044604925031e-16
STRG.683.2_ORF_4	2645	-	3	255	1	255	0.5762	-0.072967732569862	2.22044604925031e-16
STRG.683.2_ORF_5	2645	-	1	2030	1821	210	0.7131	-0.231905748734424	2.22044604925031e-16
STRG.703.1_ORF_1	1162	+	2	38	826	789	1.047	0.367197486774182	2.22044604925031e-16
STRG.703.1_ORF_2	1162	-	1	346	110	237	0.9526	0.0156295849486678	2.22044604925031e-16
STRG.703.1_ORF_3	1162	+	3	690	896	207	1.1757	-0.36672332333126	2.22044604925031e-16
STRG.703.1_ORF_4	1162	+	3	351	536	186	1.1967	0.00560663679462072	2.22044604925031e-16
STRG.703.1_ORF_5	1162	+	1	991	1152	162	0.6947	-0.238678761941665	2.22044604925031e-16
STRG.703.3_ORF_1	1000	+	3	3	734	732	1.0228	0.391365378428018	2.30971270138122e-10
STRG.703.3_ORF_2	1000	-	3	254	18	237	0.9526	0.0156295849486678	2.22044604925031e-16
STRG.703.3_ORF_3	1000	+	1	598	804	207	1.1757	-0.36672332333126	2.22044604925031e-16
STRG.703.3_ORF_4	1000	+	1	259	444	186	1.1967	0.00560663679462072	2.22044604925031e-16
STRG.703.3_ORF_5	1000	+	2	455	562	108	1.0335	0.224734589522134	2.22044604925031e-16
STRG.727.3_ORF_1	466	-	3	278	42	237	1.2703	0.382612324233878	7.32842255291823e-11
STRG.727.3_ORF_2	466	-	1	451	242	210	0.9918	0.233124324132527	4.86879823646578e-13
STRG.727.3_ORF_3	466	-	1	184	5	180	1.2315	-0.143875685037292	2.22044604925031e-16
STRG.727.3_ORF_4	466	-	2	399	298	102	1.0943	-0.0276545048412548	2.22044604925031e-16
STRG.750.3_ORF_1	581	+	1	100	423	324	0.6098	0.0987143053366063	4.73422511551798e-13
STRG.750.3_ORF_2	581	-	2	313	149	165	0.682	0.00013595884637335	2.22044604925031e-16
STRG.750.3_ORF_3	581	+	3	66	167	102	1.064	0.118304878206324	2.22044604925031e-16
STRG.750.3_ORF_4	581	+	3	411	512	102	0.575	-0.0953161282908382	2.22044604925031e-16
STRG.750.3_ORF_5	581	+	2	377	457	81	0.5232	-0.188124608182451	2.22044604925031e-16
STRG.750.4_ORF_1	565	+	3	177	407	231	0.3701	0.0726036398488136	2.22044604925031e-16
STRG.750.4_ORF_2	565	-	2	297	163	135	0.483	0.00275899939279934	2.22044604925031e-16
STRG.750.4_ORF_3	565	+	2	395	496	102	0.575	-0.0953161282908382	2.22044604925031e-16
STRG.750.4_ORF_4	565	+	3	66	152	87	0.8938	0.142509221251928	2.22044604925031e-16
STRG.750.4_ORF_5	565	+	1	361	441	81	0.5232	-0.188124608182451	2.22044604925031e-16
STRG.750.7_ORF_1	3399	+	2	2435	3241	807	0.4367	0.118484096866526	2.22044604925031e-16
STRG.750.7_ORF_2	3399	+	3	945	1340	396	0.9434	0.274759961316546	2.22044604925031e-16
STRG.750.7_ORF_3	3399	+	2	2165	2413	249	0.7643	0.115937750738733	2.22044604925031e-16
STRG.750.7_ORF_4	3399	+	2	383	559	177	0.7633	-0.34265782424761	2.22044604925031e-16
STRG.750.7_ORF_5	3399	-	2	3131	2967	165	0.682	0.00013595884637335	2.22044604925031e-16
STRG.750.6_ORF_1	4563	+	2	2441	4405	1965	0.6726	0.191249665105979	2.22044604925031e-16
STRG.750.6_ORF_2	4563	+	2	53	1510	1458	1.0695	0.360971620232026	2.22044604925031e-16
STRG.750.6_ORF_3	4563	+	3	723	1331	609	1.138	0.113459899620125	2.22044604925031e-16
STRG.750.6_ORF_4	4563	+	3	3528	3761	234	0.5608	-0.0362386347001504	2.22044604925031e-16
STRG.750.6_ORF_5	4563	+	1	1147	1362	216	0.9761	0.0296105865024083	2.22044604925031e-16
STRG.750.5_ORF_1	3838	+	3	1770	3680	1911	0.6396	0.198901563151245	2.22044604925031e-16
STRG.750.5_ORF_2	3838	+	2	26	1723	1698	0.9666	0.316995670041856	2.22044604925031e-16
STRG.750.5_ORF_3	3838	+	3	897	1505	609	1.138	0.113459899620125	2.22044604925031e-16
STRG.750.5_ORF_4	3838	+	1	1321	1536	216	0.9761	0.0296105865024083	2.22044604925031e-16
STRG.750.5_ORF_5	3838	-	2	354	151	204	0.7828	-0.0758023972458131	2.22044604925031e-16
STRG.753.1_ORF_1	4666	+	1	835	2607	1773	0.8943	0.215881396994808	2.22044604925031e-16
STRG.753.1_ORF_2	4666	+	1	3325	4362	1038	1.0533	0.268986919544431	2.22044604925031e-16
STRG.753.1_ORF_3	4666	+	1	70	645	576	0.8146	0.255059607881767	2.22044604925031e-16
STRG.753.1_ORF_4	4666	-	3	3587	3345	243	1.0543	-0.015886601874301	2.22044604925031e-16
STRG.753.1_ORF_5	4666	+	2	671	886	216	0.6191	-0.106928408585178	2.22044604925031e-16
STRG.754.2_ORF_1	684	+	3	516	683	168	0.9326	0.115054870423297	2.22044604925031e-16
STRG.754.2_ORF_2	684	-	2	209	51	159	0.6265	-0.13517401236694	2.22044604925031e-16
STRG.754.2_ORF_3	684	-	3	316	203	114	0.765	-0.40986756431558	2.22044604925031e-16
STRG.754.2_ORF_4	684	+	3	42	128	87	0.6531	-0.11326307198736	2.22044604925031e-16
STRG.754.2_ORF_5	684	-	1	300	223	78	0.5187	-0.333153765831899	2.22044604925031e-16
STRG.161.1_ORF_1	1367	+	3	78	1283	1206	1.0189	0.251348109311995	0.0170680297975864
STRG.161.1_ORF_2	1367	-	2	544	179	366	0.9289	0.0160301134055112	2.22044604925031e-16
STRG.161.1_ORF_3	1367	+	1	754	1020	267	1.0323	-0.0725202048392281	2.22044604925031e-16
STRG.161.1_ORF_4	1367	-	2	841	638	204	0.947	0.17449624804107	2.22044604925031e-16
STRG.161.1_ORF_5	1367	+	1	310	483	174	0.8835	0.0499000881678234	2.22044604925031e-16
STRG.165.3_ORF_1	1785	+	2	14	1438	1425	0.8335	0.269125490285118	4.91211733448258e-12
STRG.165.3_ORF_2	1785	-	3	1129	722	408	0.8574	-0.0985601460117943	2.22044604925031e-16
STRG.165.3_ORF_3	1785	-	2	761	540	222	0.9152	-0.123188685430873	2.22044604925031e-16
STRG.165.3_ORF_4	1785	+	2	1475	1651	177	0.9093	-0.550700630345448	2.22044604925031e-16
STRG.165.3_ORF_5	1785	-	2	284	144	141	0.432	-0.149170312420875	2.22044604925031e-16
STRG.172.4_ORF_1	2573	+	2	11	2503	2493	1.0794	0.334727218323649	0.999999999850275
STRG.172.4_ORF_2	2573	-	2	2464	1970	495	0.9285	-0.0252229810484809	2.22044604925031e-16
STRG.172.4_ORF_3	2573	+	3	1281	1763	483	1.178	-0.124739858492078	2.22044604925031e-16
STRG.172.4_ORF_4	2573	-	2	1894	1502	393	1.1019	-0.32485079097655	2.22044604925031e-16
STRG.172.4_ORF_5	2573	-	3	447	226	222	0.8338	-0.13050823594707	2.22044604925031e-16
STRG.206.1_ORF_1	2803	+	2	104	2542	2439	1.1127	0.389393400825586	2.70445628642379e-06
STRG.206.1_ORF_2	2803	-	1	907	254	654	0.9481	-0.0353885054980996	2.22044604925031e-16
STRG.206.1_ORF_3	2803	-	1	2455	2048	408	0.9859	0.0200617741647479	2.22044604925031e-16
STRG.206.1_ORF_4	2803	+	3	1881	2240	360	1.2078	-0.0382129974689759	2.22044604925031e-16
STRG.206.1_ORF_5	2803	-	1	1606	1370	237	1.1169	0.119622862601741	2.22044604925031e-16
STRG.210.1_ORF_1	860	-	1	704	543	162	0.4109	-0.105457018259735	2.22044604925031e-16
STRG.210.1_ORF_2	860	+	1	451	549	99	0.4705	0.0141507842661776	2.22044604925031e-16
STRG.210.1_ORF_3	860	+	1	271	360	90	0.8108	0.168926279596117	2.22044604925031e-16
STRG.507.1_ORF_1	2604	+	1	52	2082	2031	0.784	0.274870330673212	2.22044604925031e-16
STRG.507.1_ORF_2	2604	+	2	281	505	225	0.9845	-0.0218350406507877	2.22044604925031e-16
STRG.507.1_ORF_3	2604	-	2	215	9	207	0.9665	0.163545578458337	2.22044604925031e-16
STRG.507.1_ORF_4	2604	-	2	1553	1395	159	1.0396	0.130086770039401	2.22044604925031e-16
STRG.507.1_ORF_5	2604	+	2	1193	1333	141	1.059	-0.0612977584442479	2.22044604925031e-16
STRG.508.1_ORF_1	1492	-	1	865	542	324	0.3374	-0.331350903183476	2.22044604925031e-16
STRG.508.1_ORF_2	1492	-	1	1186	1004	183	0.8166	-0.0979409000067274	2.22044604925031e-16
STRG.508.1_ORF_3	1492	+	2	182	322	141	0.416	-0.298194426230413	2.22044604925031e-16
STRG.508.1_ORF_4	1492	+	3	975	1112	138	0.9904	0.0275411661662333	2.22044604925031e-16
STRG.508.1_ORF_5	1492	-	2	261	127	135	0.5701	-0.250651699769409	2.22044604925031e-16
STRG.508.2_ORF_1	636	-	1	330	148	183	0.8166	-0.0979409000067274	2.22044604925031e-16
STRG.508.2_ORF_2	636	+	2	119	256	138	0.9904	0.0275411661662333	2.22044604925031e-16
STRG.508.2_ORF_3	636	+	3	405	515	111	0.5545	-0.028547698536805	2.22044604925031e-16
STRG.508.2_ORF_4	636	+	1	253	357	105	0.9879	0.161380524363783	2.22044604925031e-16
STRG.508.3_ORF_1	723	-	1	417	235	183	0.8166	-0.0979409000067274	2.22044604925031e-16
STRG.508.3_ORF_2	723	+	2	206	343	138	0.9904	0.0275411661662333	2.22044604925031e-16
STRG.508.3_ORF_3	723	+	3	492	602	111	0.5545	-0.028547698536805	2.22044604925031e-16
STRG.508.3_ORF_4	723	+	1	340	444	105	0.9879	0.161380524363783	2.22044604925031e-16
STRG.508.3_ORF_5	723	-	3	85	2	84	0.915	-0.341315728625186	2.22044604925031e-16
STRG.267.2_ORF_1	1558	+	3	39	1445	1407	1.0673	0.298243004418308	0.515995280740102
STRG.267.2_ORF_2	1558	-	3	1277	813	465	1.0883	0.102830337257937	2.22044604925031e-16
STRG.267.2_ORF_3	1558	-	3	488	132	357	0.9424	-0.0707812332066781	2.22044604925031e-16
STRG.267.2_ORF_4	1558	+	1	316	540	225	0.9948	-0.060608832023225	2.22044604925031e-16
STRG.267.2_ORF_5	1558	+	1	1156	1368	213	1.0519	-0.184700819344224	2.22044604925031e-16
STRG.269.1_ORF_1	495	+	3	123	272	150	0.5466	-0.0659914073674338	2.22044604925031e-16
STRG.269.1_ORF_2	495	+	3	354	443	90	0.8463	-0.318156419838781	2.22044604925031e-16
STRG.273.2_ORF_1	1254	+	1	58	1206	1149	1.0331	0.464173468992376	0.976420559194296
STRG.273.2_ORF_2	1254	-	1	636	496	141	0.8613	0.0451302839999245	2.22044604925031e-16
STRG.273.2_ORF_3	1254	-	2	977	849	129	1.0482	-0.122460384504899	2.22044604925031e-16
STRG.273.2_ORF_4	1254	+	2	962	1042	81	1.0894	-0.229986229665048	2.22044604925031e-16
STRG.273.2_ORF_5	1254	-	3	883	806	78	1.1121	-0.00967615448589443	2.22044604925031e-16
STRG.303.1_ORF_1	1311	+	3	738	1007	270	0.7509	-0.0775731837946759	2.22044604925031e-16
STRG.303.1_ORF_2	1311	-	3	1093	905	189	0.8529	-0.205763451183304	2.22044604925031e-16
STRG.303.1_ORF_3	1311	+	3	432	587	156	0.5534	-0.0476923364315906	2.22044604925031e-16
STRG.303.1_ORF_4	1311	+	3	1158	1256	99	1.0075	-0.513503269441448	2.22044604925031e-16
STRG.303.1_ORF_5	1311	+	1	541	633	93	0.5402	-0.245891401137008	2.22044604925031e-16
STRG.306.2_ORF_1	2659	+	1	25	1872	1848	0.8361	0.245107644902255	2.22044604925031e-16
STRG.306.2_ORF_2	2659	+	2	611	1048	438	0.8801	0.173857029033757	2.22044604925031e-16
STRG.306.2_ORF_3	2659	+	2	1928	2359	432	1.0715	0.371646906850824	2.22044604925031e-16
STRG.306.2_ORF_4	2659	-	1	964	626	339	0.7103	-0.246816753162404	2.22044604925031e-16
STRG.306.2_ORF_5	2659	+	2	1364	1636	273	1.1131	-0.200192882191305	2.22044604925031e-16
STRG.306.3_ORF_1	2782	+	1	25	1995	1971	0.8361	0.234461879617178	2.22044604925031e-16
STRG.306.3_ORF_2	2782	+	2	611	1048	438	0.8801	0.173857029033757	2.22044604925031e-16
STRG.306.3_ORF_3	2782	+	2	2051	2482	432	1.0715	0.371646906850824	2.22044604925031e-16
STRG.306.3_ORF_4	2782	-	1	964	626	339	0.7103	-0.246816753162404	2.22044604925031e-16
STRG.306.3_ORF_5	2782	+	2	1364	1636	273	1.1131	-0.200192882191305	2.22044604925031e-16
STRG.227.3_ORF_1	2239	+	1	1285	1914	630	0.9922	0.333284528285433	2.22044604925031e-16
STRG.227.3_ORF_2	2239	+	3	138	503	366	0.6074	-0.144851288626912	2.22044604925031e-16
STRG.227.3_ORF_3	2239	-	2	1776	1588	189	0.9666	0.203520898666015	2.22044604925031e-16
STRG.227.3_ORF_4	2239	+	1	382	555	174	0.7016	-0.216634010372732	2.22044604925031e-16
STRG.227.3_ORF_5	2239	+	2	1841	2002	162	1.0164	-0.248599465076908	2.22044604925031e-16
STRG.347.1_ORF_1	310	+	2	26	277	252	0.4585	0.0542370762457484	0.00624148974339753
STRG.347.1_ORF_2	310	-	2	120	1	120	0.8728	0.089585647745331	1.81172551690588e-10
STRG.358.2_ORF_1	1399	+	1	79	759	681	0.789	0.307178470362364	2.22044604925031e-16
STRG.358.2_ORF_2	1399	-	2	768	523	246	0.7593	0.0300695472123141	2.22044604925031e-16
STRG.358.2_ORF_3	1399	+	3	204	410	207	0.7016	0.0933004708043563	2.22044604925031e-16
STRG.358.2_ORF_4	1399	-	1	529	356	174	1.1248	-0.07988870670924	2.22044604925031e-16
STRG.358.2_ORF_5	1399	+	2	164	322	159	0.8895	-0.0273051915362897	2.22044604925031e-16
STRG.360.1_ORF_1	259	+	2	5	229	225	1.2928	0.808468888763079	0.977377158045392
STRG.360.1_ORF_2	259	-	3	209	3	207	1.2196	-0.10856807425725	0.00470419064613983
STRG.360.1_ORF_3	259	+	1	94	258	165	1.2124	-0.283043467976166	4.35872369860934e-06
STRG.377.4_ORF_1	2481	+	2	236	2329	2094	1.1282	0.425550532097996	2.83681453100439e-09
STRG.377.4_ORF_2	2481	-	3	1348	896	453	0.9888	0.040907201141767	2.22044604925031e-16
STRG.377.4_ORF_3	2481	+	3	2118	2384	267	0.9897	0.00783719258035996	2.22044604925031e-16
STRG.377.4_ORF_4	2481	+	3	66	239	174	1.022	0.0527916513278372	2.22044604925031e-16
STRG.377.4_ORF_5	2481	+	3	975	1139	165	1.0587	0.145362329427382	2.22044604925031e-16
STRG.983.2_ORF_1	1427	+	3	18	1115	1098	0.9834	0.462437113131124	1.82172687483046e-11
STRG.983.2_ORF_2	1427	-	1	365	12	354	0.903	0.0318038111588392	2.22044604925031e-16
STRG.983.2_ORF_3	1427	-	2	1039	776	264	0.9593	0.0108978653171524	2.22044604925031e-16
STRG.983.2_ORF_4	1427	+	1	118	327	210	1.1537	0.0336980349011359	2.22044604925031e-16
STRG.983.2_ORF_5	1427	-	2	640	449	192	0.6827	0.0951470983262727	2.22044604925031e-16
STRG.1017.2_ORF_1	1710	+	1	46	963	918	0.9458	0.226442431987775	2.22044604925031e-16
STRG.1017.2_ORF_2	1710	+	2	845	1435	591	0.8676	0.300578515718968	2.22044604925031e-16
STRG.1017.2_ORF_3	1710	+	2	314	532	219	1.1386	-0.174221124348423	2.22044604925031e-16
STRG.1017.2_ORF_4	1710	-	3	1228	1025	204	1.0385	0.0904002903845238	2.22044604925031e-16
STRG.1017.2_ORF_5	1710	-	3	910	722	189	0.8953	-0.0780467544268132	2.22044604925031e-16
STRG.1023.2_ORF_1	532	+	1	40	528	489	0.4702	0.0982035210328292	0.514696994440508
STRG.1023.2_ORF_2	532	-	3	323	198	126	0.4925	0.0849119109118808	2.22044604925031e-16
STRG.1023.2_ORF_3	532	-	3	464	369	96	0.6437	-0.39731395839204	2.22044604925031e-16
STRG.1023.2_ORF_4	532	+	3	36	122	87	0.829	0.133017886702382	2.22044604925031e-16
STRG.1023.2_ORF_5	532	-	1	253	167	87	0.9534	-0.0709009688762317	2.22044604925031e-16
STRG.1032.1_ORF_1	1756	+	3	66	1199	1134	1.1422	0.470202733498034	2.22044604925031e-16
STRG.1032.1_ORF_2	1756	-	2	1572	1327	246	0.8419	-0.188143667304208	2.22044604925031e-16
STRG.1032.1_ORF_3	1756	+	1	667	894	228	1.1465	0.171131268424922	2.22044604925031e-16
STRG.1032.1_ORF_4	1756	+	1	229	408	180	1.0746	0.055380843718364	2.22044604925031e-16
STRG.1032.1_ORF_5	1756	+	3	1206	1373	168	0.9146	-0.200014565289305	2.22044604925031e-16
STRG.1051.2_ORF_1	1550	+	3	381	1505	1125	0.9534	0.378064623512345	2.22044604925031e-16
STRG.1051.2_ORF_2	1550	-	2	424	50	375	0.5408	-0.142726757987556	2.22044604925031e-16
STRG.1051.2_ORF_3	1550	-	2	1519	1208	312	0.8517	0.0177741740797051	2.22044604925031e-16
STRG.1051.2_ORF_4	1550	-	1	1472	1227	246	0.8813	-0.0471467095768473	2.22044604925031e-16
STRG.1051.2_ORF_5	1550	-	1	635	399	237	0.9864	-0.0315276609984666	2.22044604925031e-16
STRG.1055.3_ORF_1	782	+	2	113	631	519	0.8469	0.271651154829428	1.09491830855341e-11
STRG.1055.3_ORF_2	782	+	3	402	605	204	1.2356	0.016921171767845	2.22044604925031e-16
STRG.1055.3_ORF_3	782	+	1	220	360	141	0.5725	-0.146909124617079	2.22044604925031e-16
STRG.1055.3_ORF_4	782	+	3	276	398	123	1.0261	-0.0482650232287394	2.22044604925031e-16
STRG.1055.3_ORF_5	782	-	3	84	1	84	0.7732	-0.314090593595257	2.22044604925031e-16
STRG.1065.3_ORF_1	2256	+	3	15	785	771	1.0536	0.30559581742304	2.22044604925031e-16
STRG.1065.3_ORF_2	2256	+	2	929	1597	669	0.7831	0.246680139281589	2.22044604925031e-16
STRG.1065.3_ORF_3	2256	+	3	1551	2093	543	0.8104	0.298023717820539	2.22044604925031e-16
STRG.1065.3_ORF_4	2256	-	2	1907	1725	183	0.713	-0.0632001347110784	2.22044604925031e-16
STRG.1065.3_ORF_5	2256	+	1	292	462	171	1.158	-0.107665343593789	2.22044604925031e-16
STRG.1127.1_ORF_1	438	-	3	232	2	231	0.9149	-0.0493794839318022	3.34441810321615e-11
STRG.1127.1_ORF_2	438	-	2	377	240	138	0.4355	-0.372501024315667	2.22044604925031e-16
STRG.1127.1_ORF_3	438	-	1	222	97	126	1.0316	-0.203184908161651	2.22044604925031e-16
STRG.1129.1_ORF_1	414	-	2	194	3	192	0.4231	-0.155626455559894	9.49573909157669e-13
STRG.1129.1_ORF_2	414	+	2	14	115	102	0.6836	0.09156537147982	2.22044604925031e-16
STRG.1129.1_ORF_3	414	-	1	171	91	81	0.5745	-0.169494733627744	2.22044604925031e-16
STRG.567.4_ORF_1	2376	+	2	14	1885	1872	1.0356	0.309931338265052	2.22044604925031e-16
STRG.567.4_ORF_2	2376	-	2	557	303	255	1.0286	0.108611555861254	2.22044604925031e-16
STRG.567.4_ORF_3	2376	+	3	1581	1775	195	1.2443	0.0569846649003791	2.22044604925031e-16
STRG.567.4_ORF_4	2376	-	2	158	42	117	1.0284	0.105944858201731	2.22044604925031e-16
STRG.567.4_ORF_5	2376	-	2	1340	1230	111	0.7886	-0.0976240629398524	2.22044604925031e-16
STRG.567.5_ORF_1	2464	+	2	14	1900	1887	1.0356	0.309133440608181	2.22044604925031e-16
STRG.567.5_ORF_2	2464	-	3	557	303	255	1.0286	0.108611555861254	2.22044604925031e-16
STRG.567.5_ORF_3	2464	+	3	1581	1775	195	1.2443	0.0569846649003791	2.22044604925031e-16
STRG.567.5_ORF_4	2464	-	3	1949	1770	180	1.0797	-0.066572280018074	2.22044604925031e-16
STRG.567.5_ORF_5	2464	-	1	1957	1820	138	1.1739	-0.098359625611004	2.22044604925031e-16
STRG.571.5_ORF_1	2132	+	1	175	1572	1398	0.7826	0.370921548124138	2.22044604925031e-16
STRG.571.5_ORF_2	2132	+	2	1544	1852	309	0.6791	-0.127574687087979	2.22044604925031e-16
STRG.571.5_ORF_3	2132	+	3	1470	1673	204	0.9567	-0.148448524276927	2.22044604925031e-16
STRG.571.5_ORF_4	2132	-	3	330	139	192	0.8502	-0.213092276670986	2.22044604925031e-16
STRG.571.5_ORF_5	2132	-	2	1495	1346	150	0.493	0.122466923030116	2.22044604925031e-16
STRG.566.6_ORF_1	2452	+	1	7	2013	2007	0.8476	0.27653136176573	1.92219147699616e-13
STRG.566.6_ORF_2	2452	-	3	1859	1509	351	0.6093	0.0353650078822505	2.22044604925031e-16
STRG.566.6_ORF_3	2452	-	1	1786	1562	225	0.6998	-0.0960883018080042	2.22044604925031e-16
STRG.566.6_ORF_4	2452	-	2	891	721	171	0.9271	-0.162223773452079	2.22044604925031e-16
STRG.566.6_ORF_5	2452	+	2	2291	2452	162	0.808	-0.0791436467346772	2.22044604925031e-16
STRG.566.3_ORF_1	2596	+	1	64	2157	2094	0.8476	0.285655001392074	2.22044604925031e-16
STRG.566.3_ORF_2	2596	-	3	2003	1671	333	0.5821	0.0307601201147283	2.22044604925031e-16
STRG.566.3_ORF_3	2596	-	1	1930	1706	225	0.6998	-0.0960883018080042	2.22044604925031e-16
STRG.566.3_ORF_4	2596	-	2	948	778	171	0.9271	-0.162223773452079	2.22044604925031e-16
STRG.566.3_ORF_5	2596	+	2	2435	2596	162	0.808	-0.0791436467346772	2.22044604925031e-16
STRG.793.2_ORF_1	1375	+	3	9	1046	1038	1.1477	0.440931273692107	3.19870935631864e-12
STRG.793.2_ORF_2	1375	-	2	708	247	462	1.1764	0.115134351712038	2.22044604925031e-16
STRG.793.2_ORF_3	1375	-	3	1139	849	291	0.8354	-0.0920537291985985	2.22044604925031e-16
STRG.793.2_ORF_4	1375	+	2	995	1228	234	0.5929	-0.0969566067298396	2.22044604925031e-16
STRG.793.2_ORF_5	1375	-	2	1263	1120	144	0.631	0.0212280557188482	2.22044604925031e-16
STRG.793.3_ORF_1	1422	+	3	9	764	756	1.0868	0.303462234660775	2.22044604925031e-16
